Luas Tanah,Luas Bangunan,Kamar Tidur,Kamar Mandi,Daya Listrik,Jumlah Lantai,Kecamatan,Sertifikat,Kondisi Perabotan,Kondisi Properti,Hook,Terjangkau Internet,Harga_Asli,Harga_Prediksi,Selisih
120,450,2,1,2200.0,1.0,benowo,HGB - Hak Guna Bangunan,Unfurnished,Baru,Tidak,Ya,775000000,3453933333.333333,-2678933333.333333
300,200,5,3,1300.0,2.0,tenggilis mejoyo,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Ya,3600000000,4093100000.0,-493100000.0
85,115,3,3,2200.0,2.0,tenggilis mejoyo,SHM - Sertifikat Hak Milik,Unfurnished,Baru,Tidak,Ya,1850000000,1845000000.0,5000000.0
120,100,2,1,2200.0,1.0,wiyung,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Tidak,1500000000,1519850000.0,-19850000.0
525,540,6,4,5500.0,2.0,dukuh pakis,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Ya,15500000000,11613114285.714287,3886885714.285713
120,180,4,4,4400.0,2.0,sukolilo,SHM - Sertifikat Hak Milik,Unfurnished,Baru,Tidak,Ya,2750000000,2748500000.0,1500000.0
634,634,1,1,2200.0,1.0,sawahan,"Lainnya (PPJB,Girik,Adat,dll)",Unfurnished,Butuh Renovasi,Tidak,Tidak,7000000000,7777700000.0,-777700000.0
66,132,5,2,900.0,2.0,wiyung,HGB - Hak Guna Bangunan,Unfurnished,Bagus,Tidak,Ya,800000000,1780770000.0,-980770000.0
156,256,4,3,2200.0,2.0,mulyorejo,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Tidak,3050000000,3065000000.0,-15000000.0
119,160,3,3,5500.0,2.0,kenjeran,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Tidak,2700000000,2700000000.0,0.0
128,120,3,3,2200.0,2.0,wiyung,SHM - Sertifikat Hak Milik,Unfurnished,Unknown,Tidak,Tidak,16500000000,5096100000.0,11403900000.0
100,175,4,3,4400.0,1.0,wonocolo,SHM - Sertifikat Hak Milik,Unfurnished,Baru,Tidak,Tidak,2200000000,2732000000.0,-532000000.0
92,146,3,3,4400.0,1.0,sambikerep,HGB - Hak Guna Bangunan,Unfurnished,Baru,Unknown,Unknown,2700000000,2112125000.0,587875000.0
50,70,2,1,1300.0,2.0,tenggilis mejoyo,HGB - Hak Guna Bangunan,Unfurnished,Baru,Tidak,Ya,1300000000,1131500000.0,168500000.0
72,72,2,1,2200.0,1.0,rungkut,SHM - Sertifikat Hak Milik,Unfurnished,Unknown,Tidak,Tidak,950000000,911000000.0,39000000.0
165,235,4,3,2200.0,2.0,lakarsantri,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Ya,4750000000,2867545238.095238,1882454761.9047618
112,140,3,3,2200.0,2.0,rungkut,SHM - Sertifikat Hak Milik,Unfurnished,Baru,Ya,Ya,1850000000,1883851666.666667,-33851666.666666985
105,100,3,3,1300.0,1.0,wonocolo,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Tidak,900000000,1876950000.0,-976950000.0
90,130,4,3,1300.0,2.0,rungkut,SHM - Sertifikat Hak Milik,Unfurnished,Baru,Tidak,Ya,1600000000,1728135808.891401,-128135808.89140105
120,200,4,2,3300.0,2.0,wiyung,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Ya,3990000000,2008267619.047619,1981732380.952381
179,250,4,3,3500.0,2.0,wiyung,HGB - Hak Guna Bangunan,Unfurnished,Baru,Ya,Ya,4000000000,3491437500.0,508562500.0
135,160,5,2,2200.0,2.0,sukolilo,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Ya,1300000000,1335000000.0,-35000000.0
383,256,5,3,2200.0,2.0,wiyung,SHM - Sertifikat Hak Milik,Unfurnished,Butuh Renovasi,Ya,Ya,7500000000,6116750000.0,1383250000.0
180,270,4,3,4400.0,2.0,sambikerep,"Lainnya (PPJB,Girik,Adat,dll)",Unfurnished,Baru,Tidak,Tidak,4400000000,4008100000.0,391900000.0
120,180,4,3,2200.0,2.0,sukolilo,SHM - Sertifikat Hak Milik,Unfurnished,Baru,Tidak,Ya,2750000000,2757233870.9677415,-7233870.967741489
120,120,4,2,2200.0,2.0,wonocolo,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Ya,1500000000,2918950000.0,-1418950000.0
234,230,4,4,5500.0,2.0,sukolilo,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Ya,Tidak,4700000000,4891800000.0,-191800000.0
52,88,3,3,2200.0,2.0,rungkut,SHM - Sertifikat Hak Milik,Unfurnished,Baru,Tidak,Tidak,925000000,911830000.0,13170000.0
235,350,4,4,3500.0,2.0,sukolilo,SHM - Sertifikat Hak Milik,Unfurnished,Baru,Unknown,Unknown,6100000000,5042771428.571428,1057228571.4285717
135,255,4,3,4400.0,3.0,sukolilo,SHM - Sertifikat Hak Milik,Unfurnished,Baru,Tidak,Ya,3900000000,4221600000.0,-321600000.0
112,112,3,1,1300.0,2.0,gayungan,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Ya,1030000000,1086530000.0,-56530000.0
74,60,2,1,1300.0,2.0,pakal,HGB - Hak Guna Bangunan,Unfurnished,Bagus,Tidak,Tidak,675000000,901180000.0,-226180000.0
300,300,5,3,2200.0,1.0,tenggilis mejoyo,SHM - Sertifikat Hak Milik,Unfurnished,Unknown,Tidak,Tidak,3600000000,3524900000.0,75100000.0
144,220,4,3,2200.0,2.0,wiyung,HGB - Hak Guna Bangunan,Unfurnished,Baru,Tidak,Ya,3900000000,2653037500.0,1246962500.0
105,117,3,3,2200.0,2.0,lakarsantri,HGB - Hak Guna Bangunan,Unfurnished,Baru,Tidak,Tidak,4000000000,2169200000.0,1830800000.0
393,300,3,2,7700.0,1.0,tegalsari,SHM - Sertifikat Hak Milik,Unfurnished,Unknown,Tidak,Tidak,11500000000,8005785714.285714,3494214285.714286
260,150,3,3,2200.0,1.0,rungkut,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Tidak,2900000000,2846666666.666666,53333333.33333397
180,250,3,3,3500.0,2.0,sukolilo,SHM - Sertifikat Hak Milik,Unfurnished,Baru,Tidak,Ya,3940000000,3929227142.8571424,10772857.142857552
140,300,5,4,13200.0,3.0,kenjeran,"Lainnya (PPJB,Girik,Adat,dll)",Unfurnished,Bagus,Tidak,Ya,1690000000,4973000000.0,-3283000000.0
142,185,4,3,2200.0,2.0,wiyung,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Tidak,2250000000,3682870000.0,-1432870000.0
72,70,3,2,2200.0,2.0,sukolilo,SHM - Sertifikat Hak Milik,Unfurnished,Baru,Tidak,Ya,1250000000,1300616666.6666665,-50616666.66666651
116,180,3,3,3500.0,2.0,wiyung,HGB - Hak Guna Bangunan,Unfurnished,Baru,Ya,Ya,1700000000,2674900000.0,-974900000.0
155,245,4,3,3500.0,2.0,wiyung,HGB - Hak Guna Bangunan,Unfurnished,Baru,Unknown,Unknown,1300000000,3375100000.0,-2075100000.0
84,54,2,1,2200.0,1.0,pakal,HGB - Hak Guna Bangunan,Unfurnished,Bagus,Tidak,Tidak,899000000,836360000.0,62640000.0
112,71,3,2,1300.0,1.0,rungkut,SHM - Sertifikat Hak Milik,Unfurnished,Unknown,Ya,Tidak,1350000000,1218773333.3333333,131226666.66666675
90,100,2,1,3500.0,2.0,sambikerep,HGB - Hak Guna Bangunan,Unfurnished,Bagus,Tidak,Ya,1350000000,1475607142.857143,-125607142.85714293
128,170,3,2,2200.0,1.0,wiyung,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Tidak,1750000000,2255871428.5714283,-505871428.5714283
196,205,4,3,2200.0,2.0,wiyung,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Ya,Ya,2850000000,3961394166.666666,-1111394166.666666
120,100,4,1,2200.0,1.0,rungkut,SHM - Sertifikat Hak Milik,Unfurnished,Sudah Renovasi,Tidak,Ya,1400000000,1400000000.0,0.0
128,200,3,2,3500.0,2.0,tandes,HGB - Hak Guna Bangunan,Unfurnished,Baru,Tidak,Ya,2590000000,2962200000.0,-372200000.0
165,165,3,3,5500.0,2.0,sambikerep,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Unknown,Unknown,2650000000,3275400000.0,-625400000.0
90,72,3,1,2200.0,1.0,lakarsantri,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Tidak,675000000,888460000.0,-213460000.0
120,180,4,4,4400.0,1.0,tandes,HGB - Hak Guna Bangunan,Unfurnished,Bagus,Tidak,Tidak,3100000000,2749350000.0,350650000.0
120,77,2,2,2200.0,1.0,rungkut,HGB - Hak Guna Bangunan,Unfurnished,Bagus,Tidak,Ya,1500000000,7846390000.0,-6346390000.0
300,300,4,3,2200.0,2.0,wiyung,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Ya,Ya,2900000000,5411666666.666666,-2511666666.666666
144,152,3,3,3500.0,2.0,wiyung,HGB - Hak Guna Bangunan,Unfurnished,Bagus,Unknown,Unknown,2550000000,1665200000.0,884800000.0
120,210,4,4,2200.0,1.0,wiyung,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Tidak,1550000000,2745440000.0,-1195440000.0
200,150,3,2,2200.0,1.0,tenggilis mejoyo,SHM - Sertifikat Hak Milik,Unfurnished,Butuh Renovasi,Tidak,Ya,1750000000,1869500000.0,-119500000.0
256,245,5,3,3300.0,2.0,sambikerep,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Ya,2400000000,3329400000.0,-929400000.0
105,100,3,3,1300.0,1.0,wonocolo,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Tidak,900000000,1876950000.0,-976950000.0
90,160,3,3,1300.0,2.0,rungkut,SHM - Sertifikat Hak Milik,Unfurnished,Baru,Tidak,Ya,1700000000,1699125000.0,875000.0
135,100,3,2,1300.0,1.0,rungkut,SHM - Sertifikat Hak Milik,Unfurnished,Butuh Renovasi,Tidak,Ya,999000000,1530014285.7142856,-531014285.7142856
72,70,2,2,2200.0,2.0,tandes,HGB - Hak Guna Bangunan,Unfurnished,Bagus,Tidak,Tidak,1750000000,1363441666.6666665,386558333.3333335
180,220,4,4,2200.0,2.0,wiyung,SHM - Sertifikat Hak Milik,Unfurnished,Baru,Tidak,Ya,3500000000,3457650000.0,42350000.0
135,200,4,3,2200.0,1.0,sukolilo,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Tidak,2500000000,2774400000.0,-274400000.0
145,167,3,3,2200.0,2.0,rungkut,SHM - Sertifikat Hak Milik,Unfurnished,Baru,Tidak,Tidak,2300000000,2372500000.0,-72500000.0
85,255,6,3,2200.0,3.0,asemrowo,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Ya,Ya,1400000000,2914640000.0,-1514640000.0
450,550,5,4,6600.0,1.0,mulyorejo,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Tidak,3900000000,6052800000.0,-2152800000.0
70,79,3,3,2200.0,2.0,sukolilo,HGB - Hak Guna Bangunan,Unfurnished,Baru,Tidak,Tidak,1400000000,1406400000.0,-6400000.0
275,400,5,4,2200.0,2.0,dukuh pakis,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Ya,6480000000,5609225000.0,870775000.0
250,222,6,4,3300.0,2.0,kenjeran,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Ya,3750000000,3492850000.0,257150000.0
619,619,2,1,2200.0,1.0,genteng,SHM - Sertifikat Hak Milik,Unfurnished,Butuh Renovasi,Tidak,Tidak,4950000000,5289900000.0,-339900000.0
140,200,4,3,2200.0,2.0,mulyorejo,SHM - Sertifikat Hak Milik,Unfurnished,Baru,Tidak,Ya,3400000000,3400000000.0,0.0
93,140,4,4,2200.0,1.0,mulyorejo,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Tidak,1950000000,1911500000.0,38500000.0
278,170,4,3,3300.0,1.0,wonocolo,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Ya,Ya,1850000000,2604000000.0,-754000000.0
200,195,5,4,2200.0,1.0,tambaksari,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Ya,2100000000,2260300000.0,-160300000.0
119,160,3,3,5500.0,2.0,kenjeran,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Ya,2700000000,2727962500.0,-27962500.0
120,80,3,2,1300.0,1.0,rungkut,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Tidak,975000000,1179340000.0,-204340000.0
150,100,3,1,2200.0,1.0,tandes,SHM - Sertifikat Hak Milik,Unfurnished,Butuh Renovasi,Tidak,Ya,1200000000,1526866666.666667,-326866666.666667
240,360,5,4,1300.0,1.0,wonokromo,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Tidak,3000000000,3327170000.0,-327170000.0
120,120,3,2,1300.0,1.0,benowo,HGB - Hak Guna Bangunan,Unfurnished,Bagus,Tidak,Tidak,1100000000,1184696666.6666667,-84696666.66666675
115,200,4,2,3300.0,2.0,wiyung,HGB - Hak Guna Bangunan,Unfurnished,Bagus,Tidak,Ya,1900000000,3077842142.8571434,-1177842142.8571434
240,240,4,5,6600.0,2.0,dukuh pakis,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Ya,5300000000,5608200000.0,-308200000.0
432,800,5,5,2200.0,2.0,tambaksari,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Ya,18500000000,14155400000.0,4344600000.0
387,387,4,4,4400.0,2.0,wiyung,HGB - Hak Guna Bangunan,Unfurnished,Bagus,Tidak,Ya,9500000000,3856895833.333334,5643104166.666666
808,1100,7,4,16500.0,2.0,sukolilo,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Ya,12500000000,20460900000.0,-7960900000.0
700,1000,7,7,2200.0,1.0,dukuh pakis,HGB - Hak Guna Bangunan,Unfurnished,Bagus,Tidak,Tidak,11000000000,18079000000.0,-7079000000.0
90,160,4,2,2200.0,2.0,benowo,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Tidak,850000000,1252300000.0,-402300000.0
87,120,3,3,2200.0,2.0,rungkut,SHM - Sertifikat Hak Milik,Unfurnished,Baru,Tidak,Tidak,1690000000,1688600000.0,1400000.0
50,52,2,2,2200.0,2.0,lakarsantri,HGB - Hak Guna Bangunan,Unfurnished,Baru,Unknown,Unknown,683000000,988966666.6666665,-305966666.6666665
87,120,3,3,2200.0,2.0,rungkut,SHM - Sertifikat Hak Milik,Unfurnished,Baru,Tidak,Ya,1690000000,1690000000.0,0.0
75,50,2,2,2200.0,1.0,sukolilo,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Tidak,1250000000,1169950000.0,80050000.0
51,60,2,2,2200.0,2.0,jambangan,SHM - Sertifikat Hak Milik,Unfurnished,Baru,Unknown,Unknown,775000000,890480000.0,-115480000.0
120,180,4,3,2200.0,2.0,sukolilo,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Tidak,2750000000,2715500000.0,34500000.0
157,72,2,1,2200.0,1.0,wiyung,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,Tidak,Tidak,950000000,3292183333.333333,-2342183333.333333
357,420,5,5,2200.0,2.0,mulyorejo,HGB - Hak Guna Bangunan,Unfurnished,Bagus,Tidak,Tidak,6500000000,6500000000.0,0.0
