Kecamatan,Cluster,Price,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Sertifikat,Daya Listrik,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Hadap,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti
rungkut,0,1300000000,3,3,60,94,SHM - Sertifikat Hak Milik,3500.0,Tidak,Tidak,Unfurnished,2.0,Unknown,Tidak,,PAM atau PDAM,Tidak,Baru
rungkut,1,1300000000,3,3,60,94,SHM - Sertifikat Hak Milik,3500.0,,Tidak,Unfurnished,1.0,Unknown,Tidak,2 Mobil,PAM atau PDAM,Tidak,Baru
rungkut,0,1300000000,2,2,60,120,HGB - Hak Guna Bangunan,2200.0,,Tidak,Unfurnished,3.0,Unknown,Tidak,,PAM atau PDAM,Tidak,Baru
rungkut,1,1300000000,3,3,60,94,SHM - Sertifikat Hak Milik,2200.0,,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Bagus
sukolilo,0,1300000000,3,2,60,73,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Utara,Ya,3 Mobil,PAM atau PDAM,Tidak,Baru
rungkut,0,1300000000,3,3,62,120,HGB - Hak Guna Bangunan,1300.0,Ya,Ya,Unfurnished,2.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Unknown
rungkut,1,1300000000,3,3,62,94,SHM - Sertifikat Hak Milik,2200.0,,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Bagus
rungkut,0,1300000000,3,3,62,94,SHM - Sertifikat Hak Milik,3500.0,Tidak,Tidak,Unfurnished,2.0,Unknown,Tidak,2 Mobil,PAM atau PDAM,Tidak,Baru
tambaksari,1,1300000000,2,3,63,64,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,PAM atau PDAM,Tidak,Bagus
tambaksari,1,1300000000,2,3,63,64,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Bagus
tambaksari,0,1300000000,2,2,63,64,SHM - Sertifikat Hak Milik,2200.0,Ya,Tidak,Unfurnished,2.0,Timur,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
rungkut,0,1300000000,3,3,65,110,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,Unknown,Tidak,,PAM atau PDAM,Ya,Baru
rungkut,0,1300000000,3,3,65,110,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,Unknown,Tidak,,,Tidak,Baru
rungkut,0,1300000000,4,3,65,110,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,Selatan,Tidak,,PAM atau PDAM,Tidak,Baru
rungkut,0,1300000000,4,3,65,110,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,Unknown,Tidak,,,Tidak,Baru
rungkut,0,1300000000,3,3,65,110,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,Unknown,Tidak,,,Tidak,Baru
rungkut,0,1300000000,3,3,65,110,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Timur,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus
rungkut,0,1300000000,3,3,65,120,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Selatan,Ya,3 Mobil,PAM atau PDAM,Ya,Bagus
rungkut,0,1300000000,3,3,65,110,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Timur,Ya,2 Mobil,PAM atau PDAM,Ya,Bagus
rungkut,1,1300000000,3,3,65,110,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,PAM atau PDAM,Tidak,Bagus
rungkut,1,1300000000,4,3,65,110,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,PAM atau PDAM,Tidak,Baru
rungkut,0,1300000000,3,3,65,120,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,Selatan,Tidak,,PAM atau PDAM,Tidak,Baru
rungkut,0,1300000000,3,3,65,110,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,Unknown,Tidak,,PAM atau PDAM,Tidak,Baru
rungkut,0,1300000000,4,3,65,110,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,Selatan,Tidak,,PAM atau PDAM,Tidak,Baru
rungkut,0,1300000000,4,3,65,110,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Timur,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
rungkut,1,1300000000,3,3,65,110,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Baru
rungkut,1,1300000000,4,3,65,110,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Baru
rungkut,0,1300000000,3,3,65,110,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Timur,Ya,3 Mobil,PAM atau PDAM,Tidak,Baru
rungkut,0,1300000000,4,3,65,110,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
rungkut,0,1300000000,3,3,65,120,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Timur,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
rungkut,0,1300000000,3,3,65,110,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,2.0,Timur,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
rungkut,0,1300000000,3,3,65,110,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Ya,Baru
rungkut,0,1300000000,4,3,65,110,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,Timur,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
rungkut,0,1300000000,4,3,65,110,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
rungkut,1,1300000000,3,3,65,110,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Bagus
rungkut,1,1300000000,4,3,65,110,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Bagus
rungkut,0,1300000000,4,3,65,110,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,3.0,Selatan,Tidak,,,Tidak,Baru
rungkut,0,1300000000,3,2,65,110,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Unknown,Ya,2 Mobil,PAM atau PDAM,Ya,Baru
rungkut,0,1300000000,3,3,65,110,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Timur,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
rungkut,0,1300000000,4,3,65,110,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Unknown,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
wiyung,0,1300000000,3,3,66,137,HGB - Hak Guna Bangunan,2200.0,Ya,Ya,Unfurnished,3.0,Unknown,Ya,2 Mobil,,Tidak,Bagus
wiyung,0,1300000000,3,3,66,137,SHM - Sertifikat Hak Milik,4400.0,,,Unfurnished,3.0,Unknown,Unknown,,,Unknown,Baru
tenggilis mejoyo,0,1300000000,3,1,70,70,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Utara,Ya,3 Mobil,PAM atau PDAM,Tidak,Baru
rungkut,0,1300000000,2,2,71,56,SHM - Sertifikat Hak Milik,1300.0,,Tidak,Unfurnished,2.0,Unknown,Tidak,2 Mobil,PAM atau PDAM,Tidak,Baru
pakal,1,1300000000,3,3,72,100,HGB - Hak Guna Bangunan,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Bagus
pakal,0,1300000000,3,2,72,60,"Lainnya (PPJB,Girik,Adat,dll)",2200.0,Ya,Ya,Unfurnished,2.0,Unknown,Ya,,PAM atau PDAM,Tidak,Sudah Renovasi
tambaksari,0,1300000000,3,3,72,105,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Utara,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
tambaksari,0,1300000000,3,3,72,110,SHM - Sertifikat Hak Milik,2200.0,,,Unfurnished,2.0,Utara,Unknown,,,Unknown,Baru
tandes,0,1300000000,2,2,72,70,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
tandes,0,1300000000,2,2,72,82,"Lainnya (PPJB,Girik,Adat,dll)",2200.0,Tidak,Tidak,Unfurnished,2.0,Selatan,Tidak,,,Tidak,Baru
kenjeran,0,1300000000,3,2,75,123,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Utara,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
kenjeran,0,1300000000,3,2,75,124,SHM - Sertifikat Hak Milik,2200.0,,Ya,Unfurnished,2.0,Utara,Tidak,2 Mobil,PAM atau PDAM,Tidak,Baru
tambaksari,1,1300000000,3,3,75,100,SHM - Sertifikat Hak Milik,2200.0,,Ya,Unfurnished,1.0,Selatan,Ya,2 Mobil,,Tidak,Baru
jambangan,1,1300000000,4,2,78,100,SHM - Sertifikat Hak Milik,1300.0,,Tidak,Unfurnished,1.0,Unknown,Tidak,,PAM atau PDAM,Tidak,Bagus
lakarsantri,0,1300000000,3,2,80,72,HGB - Hak Guna Bangunan,2200.0,,Ya,Unfurnished,2.0,Unknown,Ya,3 Mobil,PAM atau PDAM,Tidak,Baru
wiyung,0,1300000000,3,3,80,120,HGB - Hak Guna Bangunan,2200.0,Ya,Ya,Unfurnished,2.0,Timur,Tidak,3 Mobil,PAM atau PDAM,Ya,Baru
tenggilis mejoyo,1,1300000000,2,2,81,60,SHM - Sertifikat Hak Milik,1300.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,PAM atau PDAM,Tidak,Bagus
rungkut,0,1300000000,4,3,84,104,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,Selatan,Tidak,2 Mobil,PAM atau PDAM,Tidak,Unknown
sambikerep,1,1300000000,5,2,84,84,HGB - Hak Guna Bangunan,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,PAM atau PDAM,Tidak,Bagus
sukolilo,0,1300000000,4,2,84,84,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,Selatan,Tidak,2 Mobil,PAM atau PDAM,Tidak,Unknown
tambaksari,0,1300000000,4,2,88,164,"Lainnya (PPJB,Girik,Adat,dll)",2200.0,,Tidak,Unfurnished,2.0,Unknown,Tidak,,PAM atau PDAM,Tidak,Unknown
tambaksari,0,1300000000,4,2,88,164,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,Unknown,Tidak,,,Tidak,Bagus
lakarsantri,1,1300000000,2,2,90,128,SHM - Sertifikat Hak Milik,3500.0,Ya,Ya,Unfurnished,1.0,Utara,Ya,2 Mobil,,Tidak,Bagus
pakal,0,1300000000,2,2,90,72,SHM - Sertifikat Hak Milik,2200.0,,Tidak,Unfurnished,2.0,Selatan,Tidak,,,Tidak,Bagus
rungkut,0,1300000000,3,2,90,90,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,Selatan,Tidak,,PAM atau PDAM,Tidak,Bagus
rungkut,0,1300000000,3,2,90,90,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,Selatan,Tidak,2 Mobil,PAM atau PDAM,Tidak,Unknown
rungkut,0,1300000000,3,3,90,150,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,Unknown,Tidak,,,Tidak,Bagus
rungkut,1,1300000000,3,3,90,150,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Bagus
sambikerep,1,1300000000,2,1,90,60,SHM - Sertifikat Hak Milik,2200.0,,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Butuh Renovasi
sukolilo,1,1300000000,2,1,90,90,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Sudah Renovasi
sukolilo,1,1300000000,2,1,90,90,SHM - Sertifikat Hak Milik,2200.0,,Ya,Unfurnished,1.0,Timur,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus
sukolilo,1,1300000000,2,1,90,90,SHM - Sertifikat Hak Milik,2200.0,,Ya,Unfurnished,1.0,Timur,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus
sukolilo,1,1300000000,2,1,90,90,SHM - Sertifikat Hak Milik,2200.0,,Ya,Unfurnished,1.0,Timur,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus
sukolilo,1,1300000000,3,2,90,90,SHM - Sertifikat Hak Milik,2200.0,,Ya,Unfurnished,1.0,Timur,Ya,3 Mobil,PAM atau PDAM,Tidak,Sudah Renovasi
sukolilo,0,1300000000,2,1,90,90,SHM - Sertifikat Hak Milik,2200.0,,Ya,Unfurnished,2.0,Timur,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus
sukolilo,1,1300000000,2,1,90,90,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Timur,Ya,2 Mobil,PAM atau PDAM,Tidak,Sudah Renovasi
sukolilo,1,1300000000,2,1,90,90,SHM - Sertifikat Hak Milik,2200.0,,Tidak,Unfurnished,1.0,Timur,Tidak,,PAM atau PDAM,Tidak,Bagus
tandes,0,1300000000,3,2,90,100,SHM - Sertifikat Hak Milik,2200.0,,Ya,Unfurnished,2.0,Timur,Ya,2 Mobil,PAM atau PDAM,Tidak,Unknown
wiyung,0,1300000000,2,2,90,128,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,Unknown,Tidak,,,Tidak,Bagus
wiyung,1,1300000000,2,2,90,90,HGB - Hak Guna Bangunan,2200.0,Ya,Ya,Unfurnished,1.0,Unknown,Ya,,PAM atau PDAM,Tidak,Bagus
wiyung,1,1300000000,2,2,90,120,SHM - Sertifikat Hak Milik,4400.0,Ya,Ya,Unfurnished,1.0,Utara,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus
wiyung,1,1300000000,2,2,90,90,HGB - Hak Guna Bangunan,2200.0,Ya,Ya,Unfurnished,1.0,Unknown,Ya,,PAM atau PDAM,Tidak,Bagus
wiyung,0,1300000000,3,2,90,180,SHM - Sertifikat Hak Milik,2200.0,,Ya,Unfurnished,2.0,Unknown,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus
kenjeran,0,1300000000,2,2,91,180,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,Unknown,Tidak,,PAM atau PDAM,Tidak,Bagus
sukolilo,1,1300000000,3,2,91,127,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Bagus
tambaksari,0,1300000000,3,3,93,130,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,Selatan,Tidak,,PAM atau PDAM,Tidak,Bagus
jambangan,1,1300000000,4,2,96,110,SHM - Sertifikat Hak Milik,1300.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Bagus
jambangan,1,1300000000,3,1,96,80,SHM - Sertifikat Hak Milik,1300.0,,Ya,Unfurnished,1.0,Barat,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus
jambangan,1,1300000000,3,2,96,60,SHM - Sertifikat Hak Milik,1300.0,,Ya,Unfurnished,1.0,Barat,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus
kenjeran,1,1300000000,2,2,96,72,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Bagus
rungkut,1,1300000000,3,2,96,90,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Utara,Tidak,,,Tidak,Unknown
rungkut,0,1300000000,3,3,96,154,HGB - Hak Guna Bangunan,1300.0,,Tidak,Unfurnished,2.0,Unknown,Tidak,2 Mobil,,Tidak,Baru
pakal,1,1300000000,2,2,98,130,HGB - Hak Guna Bangunan,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Bagus
simokerto,0,1300000000,3,2,100,120,SHM - Sertifikat Hak Milik,3300.0,Ya,Ya,Unfurnished,2.0,Timur,Ya,2 Mobil,PAM atau PDAM,Tidak,Sudah Renovasi
kenjeran,1,1300000000,2,1,102,80,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Sudah Renovasi
kenjeran,1,1300000000,2,1,102,80,SHM - Sertifikat Hak Milik,1300.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,4 Mobil,PAM atau PDAM,Tidak,Sudah Renovasi
kenjeran,1,1300000000,2,1,102,80,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Bagus
kenjeran,0,1300000000,3,2,105,120,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Barat Laut,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus
rungkut,1,1300000000,2,1,105,105,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Bagus
rungkut,1,1300000000,5,3,105,188,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Bagus
sukomanunggal,0,1300000000,3,2,105,180,SHM - Sertifikat Hak Milik,2200.0,,Tidak,Unfurnished,2.0,Selatan,Tidak,,,Tidak,Bagus
benowo,1,1300000000,2,2,108,70,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Bagus
rungkut,1,1300000000,3,3,110,65,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Bagus
sawahan,1,1300000000,7,2,110,205,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Bagus
dukuh pakis,1,1300000000,3,2,112,110,SHM - Sertifikat Hak Milik,2200.0,,,Unfurnished,1.0,Timur,Unknown,,,Unknown,Bagus
sawahan,1,1300000000,3,2,112,110,SHM - Sertifikat Hak Milik,2200.0,,,Unfurnished,1.0,Timur,Unknown,,,Unknown,Bagus
sukolilo,0,1300000000,3,3,112,110,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Unknown,Ya,1 Mobil,PAM atau PDAM,Tidak,Baru
sukolilo,0,1300000000,3,3,112,110,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Unknown,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
sukolilo,0,1300000000,3,3,112,110,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Unknown,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
tenggilis mejoyo,0,1300000000,3,2,112,112,SHM - Sertifikat Hak Milik,4400.0,Tidak,Tidak,Unfurnished,2.0,Selatan,Tidak,2 Mobil,PAM atau PDAM,Tidak,Unknown
tenggilis mejoyo,0,1300000000,3,2,112,112,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Unknown,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus
wiyung,1,1300000000,3,1,112,112,SHM - Sertifikat Hak Milik,2200.0,,,Unfurnished,1.0,Unknown,Unknown,,,Unknown,Bagus
wiyung,0,1300000000,5,4,114,190,HGB - Hak Guna Bangunan,3500.0,Tidak,Tidak,Unfurnished,3.0,Unknown,Tidak,,,Tidak,Baru
dukuh pakis,1,1300000000,4,2,117,117,SHM - Sertifikat Hak Milik,2200.0,,,Unfurnished,1.0,Timur,Unknown,,,Unknown,Bagus
sukomanunggal,1,1300000000,3,2,117,150,SHM - Sertifikat Hak Milik,2200.0,,,Unfurnished,1.0,Barat Daya,Unknown,,,Unknown,Sudah Renovasi
tambaksari,1,1300000000,3,1,117,90,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Selatan,Tidak,2 Mobil,PAM atau PDAM,Tidak,Unknown
tambaksari,1,1300000000,3,1,117,90,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,1.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus
tambaksari,1,1300000000,3,1,117,90,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Selatan,Tidak,,PAM atau PDAM,Tidak,Bagus
benowo,1,1300000000,3,2,120,120,HGB - Hak Guna Bangunan,3500.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,PAM atau PDAM,Tidak,Bagus
benowo,1,1300000000,3,2,120,116,SHM - Sertifikat Hak Milik,2200.0,,,Unfurnished,1.0,Unknown,Unknown,,,Unknown,Bagus
benowo,1,1300000000,3,2,120,116,SHM - Sertifikat Hak Milik,2200.0,,Ya,Unfurnished,1.0,Unknown,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus
lakarsantri,1,1300000000,5,3,120,160,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Bagus
pakal,0,1300000000,2,2,120,51,HGB - Hak Guna Bangunan,1300.0,,Ya,Unfurnished,2.0,Timur,Ya,3 Mobil,PAM atau PDAM,Tidak,Sudah Renovasi
rungkut,1,1300000000,4,1,120,80,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,1.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus
rungkut,0,1300000000,4,2,120,152,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,Unknown,Tidak,,PAM atau PDAM,Tidak,Bagus
sukolilo,1,1300000000,2,1,120,80,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Bagus
sukolilo,1,1300000000,2,1,120,80,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Bagus
wiyung,1,1300000000,3,1,120,100,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,1.0,Unknown,Tidak,,PAM atau PDAM,Tidak,Bagus
wiyung,1,1300000000,3,1,120,100,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Barat,Tidak,,PAM atau PDAM,Tidak,Bagus
wiyung,1,1300000000,5,1,120,120,SHM - Sertifikat Hak Milik,900.0,Ya,Ya,Unfurnished,1.0,Selatan,Ya,,PAM atau PDAM,Ya,Bagus
wiyung,0,1300000000,4,2,120,200,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Selatan,Ya,3 Mobil,PAM atau PDAM,Tidak,Bagus
wiyung,0,1300000000,3,2,120,120,SHM - Sertifikat Hak Milik,2200.0,,Tidak,Unfurnished,2.0,Unknown,Ya,,,Tidak,Baru
wiyung,0,1300000000,4,3,120,139,HGB - Hak Guna Bangunan,2200.0,,Ya,Unfurnished,2.0,Unknown,Tidak,,PAM atau PDAM,Tidak,Bagus
rungkut,1,1300000000,3,2,125,82,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,1.0,Selatan,Ya,,PAM atau PDAM,Tidak,Bagus
rungkut,1,1300000000,3,2,125,82,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,1.0,Selatan,Ya,,PAM atau PDAM,Tidak,Bagus
rungkut,1,1300000000,3,2,125,82,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,1.0,Selatan,Ya,,PAM atau PDAM,Tidak,Bagus
rungkut,1,1300000000,3,2,125,82,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,1.0,Selatan,Ya,,PAM atau PDAM,Tidak,Bagus
rungkut,1,1300000000,3,2,125,82,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,1.0,Selatan,Ya,,PAM atau PDAM,Tidak,Bagus
rungkut,1,1300000000,3,2,125,82,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,1.0,Selatan,Ya,,PAM atau PDAM,Tidak,Bagus
rungkut,1,1300000000,3,2,125,82,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,1.0,Selatan,Ya,,PAM atau PDAM,Tidak,Bagus
tambaksari,1,1300000000,3,1,125,110,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,1.0,Barat,Ya,1 Mobil,PAM atau PDAM,Tidak,Bagus
tandes,1,1300000000,3,1,126,90,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,Unknown,Tidak,,PAM atau PDAM,Tidak,Bagus
wiyung,1,1300000000,3,2,126,100,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Selatan,Tidak,3 Mobil,PAM atau PDAM,Tidak,Bagus
wiyung,1,1300000000,3,2,126,100,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Bagus
wonocolo,1,1300000000,3,2,126,126,SHM - Sertifikat Hak Milik,2200.0,,,Unfurnished,1.0,Unknown,Unknown,,,Unknown,Bagus
rungkut,1,1300000000,3,2,127,120,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Selatan,Tidak,,,Tidak,Bagus
tambaksari,0,1300000000,5,1,128,128,SHM - Sertifikat Hak Milik,1300.0,Tidak,Tidak,Unfurnished,2.0,Utara,Tidak,,PAM atau PDAM,Tidak,Bagus
tambaksari,0,1300000000,5,1,128,128,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,2.0,Utara,Ya,1 Mobil,PAM atau PDAM,Tidak,Bagus
tambaksari,1,1300000000,5,2,128,128,SHM - Sertifikat Hak Milik,1300.0,Tidak,Tidak,Unfurnished,1.0,Utara,Tidak,1 Mobil,PAM atau PDAM,Tidak,Unknown
tenggilis mejoyo,0,1300000000,4,3,130,156,SHM - Sertifikat Hak Milik,2200.0,,Ya,Unfurnished,2.0,Utara,Ya,3 Mobil,PAM atau PDAM,Tidak,Bagus
gayungan,1,1300000000,2,1,135,90,SHM - Sertifikat Hak Milik,1300.0,,Ya,Unfurnished,1.0,Utara,Ya,2 Mobil,PAM atau PDAM,Tidak,Butuh Renovasi
