Kecamatan,Cluster,Price,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Sertifikat,Daya Listrik,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Hadap,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti
tegalsari,0,625000000,2,2,45,90,SHM - Sertifikat Hak Milik,1300.0,,Ya,Unfurnished,2.0,Timur,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
sambikerep,0,625000000,2,2,56,72,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,Unknown,Tidak,,,Tidak,Bagus
tambaksari,1,625000000,2,1,63,50,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,1.0,Barat,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
sukolilo,0,625000000,3,2,91,50,SHM - Sertifikat Hak Milik,3300.0,Ya,Ya,Unfurnished,2.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
benowo,1,625000000,2,1,105,70,SHM - Sertifikat Hak Milik,1300.0,,Ya,Unfurnished,1.0,Unknown,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus
wiyung,0,625000000,4,3,126,180,SHM - Sertifikat Hak Milik,4400.0,Tidak,Tidak,Unfurnished,2.0,Utara,Ya,3 Mobil,PAM atau PDAM,Tidak,Baru
tambaksari,1,630000000,2,1,54,53,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Barat,Tidak,,PAM atau PDAM,Tidak,Bagus
asemrowo,0,635000000,2,2,48,60,SHM - Sertifikat Hak Milik,2200.0,,,Unfurnished,2.0,Timur,Unknown,,,Unknown,Baru
lakarsantri,1,640000000,2,1,90,70,HGB - Hak Guna Bangunan,1300.0,Tidak,Tidak,Unfurnished,1.0,Selatan,Tidak,,PAM atau PDAM,Tidak,Bagus
rungkut,0,645000000,3,2,49,65,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,2.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Ya,Baru
rungkut,0,650000000,3,2,50,65,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,2.0,Timur,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
rungkut,0,650000000,3,2,50,60,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,2.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
gubeng,1,650000000,3,2,58,58,"Lainnya (PPJB,Girik,Adat,dll)",1300.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus
rungkut,1,650000000,2,1,59,59,SHM - Sertifikat Hak Milik,1300.0,Tidak,Tidak,Unfurnished,1.0,Utara,Tidak,,Sumur Bor,Tidak,Bagus
mulyorejo,0,650000000,2,1,60,150,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,Unknown,Tidak,,,Tidak,Bagus
rungkut,1,650000000,2,1,60,60,HGB - Hak Guna Bangunan,1300.0,Ya,Ya,Unfurnished,1.0,Selatan,Ya,3 Mobil,PAM atau PDAM,Tidak,Bagus
tambaksari,0,650000000,2,1,60,150,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,Unknown,Tidak,,,Tidak,Bagus
sambikerep,1,650000000,3,2,69,69,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,Unknown,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus
mulyorejo,1,650000000,2,2,70,70,"Lainnya (PPJB,Girik,Adat,dll)",900.0,Ya,Ya,Unfurnished,1.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Ya,Bagus
rungkut,1,650000000,2,1,72,54,HGB - Hak Guna Bangunan,2200.0,Ya,Ya,Unfurnished,1.0,Unknown,Ya,,PAM atau PDAM,Tidak,Butuh Renovasi
